feature,importance
num__sttl,0.10287421715860592
num__ct_state_ttl,0.07207477309780849
num__dload,0.06055433740547937
num__rate,0.05630044692563407
num__dttl,0.043408023433320606
num__sload,0.04057177237340567
num__sbytes,0.03412647182103927
num__tcprtt,0.03274672994697649
num__synack,0.03149231656248396
num__dbytes,0.030826443790656324
num__ackdat,0.030628669685597094
num__ct_srv_dst,0.029040954683834264
num__dpkts,0.02820196037029314
num__sinpkt,0.02818914058574803
num__dur,0.028025461642689466
